                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                     msun                                     rsun                                     lsun 
                                     350                                     1789                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.2704933141395319E+005                  3.0323650838768035E-002                  5.2625554511788841E+003                  7.2284742591863278E+001                  1.0227820801467114E+001                  1.7477051991683414E+001                  0.0000000000000000E+000                  1.3086412060161195E-055                  9.8012440049298788E-001                  5.4463745285703320E-005                  9.7967919613490898E-003                  3.8620975472467042E-003                  2.0850244238750414E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  5.1175113887486567E-001                  9.9193579584345775E-004                  4.6727434044916921E-001                  2.2620042586675476E-003                  3.8969664850332215E-003                  7.6613678832889573E-003                  2.0850244238750418E-003                  2.4491802553893349E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2736460542179877E+005                  3.1853059960148912E+004                  1.3834178059486717E+008                  3.6004181995007229E+001                  3.6004181995007229E+001                  7.4679151156010658E-018                  2.4653594061076505E+000                  5.0000000000000000E+001                  1.0000000000000000E+003                  4.0093719810289692E+012                               "r23.05.1"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   radius                                   m_grav                                  entropy                                   csound                  thermal_time_to_surface                                  eps_nuc                               luminosity                           log_L_div_Ledd                        log_Lrad_div_Ledd                             total_energy                             log_conv_vel                             conv_L_div_L                                    gradr                         grad_temperature                          gradT_sub_grada                            log_mlt_D_mix                          gradr_div_grada                          gradr_sub_grada                                log_D_mix                                   logtau                       engulfment_heating 
                                       1                  1.0000000000000000E+000                  1.0097831102796235E+000                  3.7211968643404423E+000                 -7.8297840392689002E+000                  3.6955260790490998E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0227820801467114E+001                  1.0000000000000000E+000                  2.0474528643676880E+001                  7.4273987326158234E+005                  2.4710406117093987E-003                  2.1704289019465001E-027                  7.2284742591863278E+001                 -3.7099514573274659E+000                 -3.7099513220672735E+000                 -1.8450714575979225E+014                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.2502458210134432E-001                  3.1256604659496978E-002                 -2.6636936169870334E-001                 -9.8999999999999986E+001                  3.1943412534051863E-001                 -2.6636936169870334E-001                 -9.8999999999999986E+001                 -1.7609125905568127E-001                 -9.8999999999999986E+001 
                                       2                  9.9999999999959988E-001                  1.0097831051236701E+000                  3.7211973126852289E+000                 -7.8297809014912003E+000                  3.6955296650773057E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0227820680042205E+001                  9.9999999999959988E-001                  2.0474524322334346E+001                  7.4274020604004466E+005                  6.1776062439960573E-003                  2.1704445851923069E-027                  7.2284742602715099E+001                 -3.7099514572622669E+000                 -3.7099513220672735E+000                 -1.8450714799649519E+014                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.2502536175762113E-001                  1.0158468003627473E-001                 -2.6636854658410974E-001                 -9.8999999999999986E+001                  3.1943614627864864E-001                 -2.6636854658410974E-001                 -9.8999999999999986E+001                 -1.7608838966201201E-001                 -9.8999999999999986E+001 
                                       3                  9.9999999999899991E-001                  1.0097830973897932E+000                  3.7211981421302478E+000                 -7.8297750966872979E+000                  3.6955362991519047E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0227820497906100E+001                  9.9999999999899991E-001                  2.0474516328021419E+001                  7.4274082168420835E+005                  1.3899636149519936E-002                  2.1704735990717532E-027                  7.2284742603113713E+001                 -3.7099454838853716E+000                 -3.7099450467353612E+000                 -1.8450715213432444E+014                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.2502770068767269E-001                  1.1916928861084156E-001                 -2.6636610127758631E-001                 -9.8999999999999986E+001                  3.1944220899739856E-001                 -2.6636610127758631E-001                 -9.8999999999999986E+001                 -1.7608408555759414E-001                 -9.8999999999999986E+001 
                                       4                  9.9999999999775002E-001                  1.0097830812777666E+000                  3.7211992630229842E+000                 -7.8297672525386748E+000                  3.6955452639579018E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0227820118461002E+001                  9.9999999999775002E-001                  2.0474505525276125E+001                  7.4274165364848520E+005                  2.1621690611950860E-002                  2.1705128067286062E-027                  7.2284742603944252E+001                 -3.7099330393143184E+000                 -3.7099330393480909E+000                 -1.8450715772586406E+014                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.2503257354635239E-001                  1.2356954635530801E-001                 -2.6636100679239472E-001                 -9.8999999999999986E+001                  3.1945483990344958E-001                 -2.6636100679239472E-001                 -9.8999999999999986E+001                 -1.7607511861976397E-001                 -9.8999999999999986E+001 
                                       5                  9.9999999999650002E-001                  1.0097830651660271E+000                  3.7212009443920735E+000                 -7.8297554866910914E+000                  3.6955587108219303E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0227819739022676E+001                  9.9999999999650002E-001                  2.0474489321909186E+001                  7.4274290161138389E+005                  3.7065873209818030E-002                  2.1705716176657395E-027                  7.2284742604774749E+001                 -3.7099205947212930E+000                 -3.7099197540750102E+000                 -1.8450716611284947E+014                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.2503744653002102E-001                  1.2467575592318780E-001                 -2.6635591216973720E-001                 -9.8999999999999986E+001                  3.1946747115333274E-001                 -2.6635591216973720E-001                 -9.8999999999999986E+001                 -1.7606615160946540E-001                 -9.8999999999999986E+001 
                                       6                  9.9999999999400002E-001                  1.0097830329434183E+000                  3.7212037467774617E+000                 -7.8297358779683703E+000                  3.6955811213434542E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0227818980166564E+001                  9.9999999999400002E-001                  2.0474462318405315E+001                  7.4274498161015403E+005                  6.0232331299946519E-002                  2.1706696343206804E-027                  7.2284742606435856E+001                 -3.7098957055030897E+000                 -3.7098948643012699E+000                 -1.8450718009038838E+014                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.2504719287751245E-001                  1.2496105396688909E-001                 -2.6634572250643107E-001                 -9.8999999999999986E+001                  3.1949273469818756E-001                 -2.6634572250643107E-001                 -9.8999999999999986E+001                 -1.7604821737146872E-001                 -9.8999999999999986E+001 
                                       7                  9.9999999999025002E-001                  1.0097829846116759E+000                  3.7212073900816054E+000                 -7.8297103885499517E+000                  3.6956102533056447E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0227817841933625E+001                  9.9999999999025002E-001                  2.0474427217830804E+001                  7.4274768572856451E+005                  8.7260145122684304E-002                  2.1707970529858756E-027                  7.2284742608927544E+001                 -3.7098583714476652E+000                 -3.7098579506148117E+000                 -1.8450719825979097E+014                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.2506181328922503E-001                  1.2504412943489560E-001                 -2.6633043703106685E-001                 -9.8999999999999986E+001                  3.1953063247134289E-001                 -2.6633043703106685E-001                 -9.8999999999999986E+001                 -1.7602131547098063E-001                 -9.8999999999999986E+001 
                                       8                  9.9999999998587508E-001                  1.0097829282279289E+000                  3.7212121547074748E+000                 -7.8296770594707379E+000                  3.6956483460199787E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0227816514072735E+001                  9.9999999998587508E-001                  2.0474381323684941E+001                  7.4275122205887898E+005                  1.2587182970771721E-001                  2.1709636724965584E-027                  7.2284742611834531E+001                 -3.7098148147875123E+000                 -3.7098135527059299E+000                 -1.8450722201722641E+014                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.2507887182400254E-001                  1.2508024245464255E-001                 -2.6631260244938937E-001                 -9.8999999999999986E+001                  3.1957485036230854E-001                 -2.6631260244938937E-001                 -9.8999999999999986E+001                 -1.7598992909611846E-001                 -9.8999999999999986E+001 
                                       9                  9.9999999997962508E-001                  1.0097828476858655E+000                  3.7212177606730070E+000                 -7.8296378535621161E+000                  3.6956931567340425E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0227814617273665E+001                  9.9999999997962508E-001                  2.0474327340512453E+001                  7.4275538275896688E+005                  1.6448412847681837E-001                  2.1711596879612470E-027                  7.2284742615987426E+001                 -3.7097525902801083E+000                 -3.7097525891670302E+000                 -1.8450724996377334E+014                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.2510324369897030E-001                  1.2510946049435942E-001                 -2.6628712167984581E-001                 -9.8999999999999986E+001                  3.1963802577993017E-001                 -2.6628712167984581E-001                 -9.8999999999999986E+001                 -1.7594508987791629E-001                 -9.8999999999999986E+001 
