                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                     msun                                     rsun                                     lsun 
                                     400                                     1825                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.2705079034213185E+005                  1.1696646327568430E-002                  5.3984416446361865E+003                  9.0750036364806689E+001                  1.0890297462248006E+001                  1.7477052070643222E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8012440049298788E-001                  5.4463745285703320E-005                  9.7967919613490898E-003                  3.8620975472467042E-003                  2.0850244238750414E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  5.1175113834608554E-001                  9.9193579487880448E-004                  4.6727434097943105E-001                  2.2620042565231089E-003                  3.8969664936537051E-003                  7.6613678762962331E-003                  2.0850244238750418E-003                  2.4491802553893396E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5968031510076975E+005                  2.3828371261183907E+004                  1.1019279330975617E+008                  3.6004001712966321E+001                  3.6004001712966350E+001                  7.4679156130365565E-018                  2.4653470758248806E+000                  5.0000000000000000E+001                  1.0000000000000000E+003                  4.0094180213008599E+012                               "r23.05.1"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   radius                                   m_grav                                  entropy                                   csound                  thermal_time_to_surface                                  eps_nuc                               luminosity                           log_L_div_Ledd                        log_Lrad_div_Ledd                             total_energy                             log_conv_vel                             conv_L_div_L                                    gradr                         grad_temperature                          gradT_sub_grada                            log_mlt_D_mix                          gradr_div_grada                          gradr_sub_grada                                log_D_mix                                   logtau                       engulfment_heating 
                                       1                  1.0000000000000000E+000                  1.0370397424232261E+000                  3.7322685760543903E+000                 -7.9134934397960901E+000                  3.6229779625709098E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0890297462248006E+001                  1.0000000000000000E+000                  2.0653479393376088E+001                  7.4974808253864862E+005                  2.0463170212921952E-003                  1.7898918833979468E-027                  9.0750036364806689E+001                 -3.5930904044757122E+000                 -3.5930902805759191E+000                 -1.7314742510398028E+014                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.2503209177702240E-001                  3.1258464117124775E-002                 -2.6176298954043925E-001                 -9.8999999999999986E+001                  3.2325150400349184E-001                 -2.6176298954043925E-001                 -9.8999999999999986E+001                 -1.7609125905568127E-001                 -9.8999999999999986E+001 
                                       2                  9.9999999999959988E-001                  1.0370397372441951E+000                  3.7322689883036295E+000                 -7.9134905549538317E+000                  3.6229812596967381E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0890297332379470E+001                  9.9999999999959988E-001                  2.0653475436288943E+001                  7.4974837119250966E+005                  5.1157964756654555E-003                  1.7899037742311275E-027                  9.0750036406787459E+001                 -3.5930904042748084E+000                 -3.5930902805759191E+000                 -1.7314742720653278E+014                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.2503285606966991E-001                  1.0159070909239495E-001                 -2.6176217781613570E-001                 -9.8999999999999986E+001                  3.2325351960589971E-001                 -2.6176217781613570E-001                 -9.8999999999999986E+001                 -1.7608862067251835E-001                 -9.8999999999999986E+001 
                                       3                  9.9999999999899991E-001                  1.0370397294756994E+000                  3.7322697509716498E+000                 -7.9134852180682449E+000                  3.6229873593139632E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0890297137577949E+001                  9.9999999999899991E-001                  2.0653468115827188E+001                  7.4974890520522033E+005                  1.1510560456906380E-002                  1.7899257721815554E-027                  9.0750036407397062E+001                 -3.5930844184582691E+000                 -3.5930840166454954E+000                 -1.7314743109619181E+014                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.2503514879340286E-001                  1.1917630793742648E-001                 -2.6175974279548664E-001                 -9.8999999999999986E+001                  3.2325956601903177E-001                 -2.6175974279548664E-001                 -9.8999999999999986E+001                 -1.7608466308225379E-001                 -9.8999999999999986E+001 
                                       4                  9.9999999999775002E-001                  1.0370397132915306E+000                  3.7322707816243930E+000                 -7.9134780062161072E+000                  3.6229956019050773E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0890296731746393E+001                  9.9999999999775002E-001                  2.0653458223646144E+001                  7.4974962685418397E+005                  1.7905344868466417E-002                  1.7899554989305476E-027                  9.0750036408667256E+001                 -3.5930719479386188E+000                 -3.5930719476787010E+000                 -1.7314743635237866E+014                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.2503992539885625E-001                  1.2357672619360464E-001                 -2.6175466972665351E-001                 -9.8999999999999986E+001                  3.2327216298946071E-001                 -2.6175466972665351E-001                 -9.8999999999999986E+001                 -1.7607641804271881E-001                 -9.8999999999999986E+001 
                                       5                  9.9999999999650002E-001                  1.0370396971076283E+000                  3.7322723276325371E+000                 -7.9134671887588874E+000                  3.6230079655002672E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0890296325921542E+001                  9.9999999999650002E-001                  2.0653443386030418E+001                  7.4975070934014616E+005                  3.0694974984645199E-002                  1.7900000886566320E-027                  9.0750036409937366E+001                 -3.5930594773565447E+000                 -3.5930587042873330E+000                 -1.7314744423637188E+014                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.2504470214305011E-001                  1.2468284675906099E-001                 -2.6174959650300644E-001                 -9.8999999999999986E+001                  3.2328476035132725E-001                 -2.6174959650300644E-001                 -9.8999999999999986E+001                 -1.7606817292234864E-001                 -9.8999999999999986E+001 
                                       6                  9.9999999999400002E-001                  1.0370396647406219E+000                  3.7322749044126056E+000                 -7.9134491605407185E+000                  3.6230285707162779E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0890295514291893E+001                  9.9999999999400002E-001                  2.0653418658520291E+001                  7.4975251353112119E+005                  4.9879573401461041E-002                  1.7900744037193038E-027                  9.0750036412477868E+001                 -3.5930345360469764E+000                 -3.5930337626803777E+000                 -1.7314745737567262E+014                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.2505425605310982E-001                  1.2496795086131655E-001                 -2.6173944958535772E-001                 -9.8999999999999986E+001                  3.2330995626386139E-001                 -2.6173944958535772E-001                 -9.8999999999999986E+001                 -1.7605168243910496E-001                 -9.8999999999999986E+001 
                                       7                  9.9999999999025002E-001                  1.0370396161921187E+000                  3.7322782544223605E+000                 -7.9134257255049025E+000                  3.6230553560476029E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0890294296897848E+001                  9.9999999999025002E-001                  2.0653386516253924E+001                  7.4975485907435068E+005                  7.2261837327906628E-002                  1.7901710111205914E-027                  9.0750036416288950E+001                 -3.5929971235359051E+000                 -3.5929967364514024E+000                 -1.7314747445551056E+014                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.2506858790955314E-001                  1.2505074455336251E-001                 -2.6172422810114770E-001                 -9.8999999999999986E+001                  3.2334775293782358E-001                 -2.6172422810114770E-001                 -9.8999999999999986E+001                 -1.7602694610797326E-001                 -9.8999999999999986E+001 
                                       8                  9.9999999998587508E-001                  1.0370395595552317E+000                  3.7322826354987657E+000                 -7.9133950824617738E+000                  3.6230903805451380E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0890292876681029E+001                  9.9999999998587508E-001                  2.0653344489846859E+001                  7.4975792646002537E+005                  1.0423693435880491E-001                  1.7902973403113380E-027                  9.0750036420735270E+001                 -3.5929534748808032E+000                 -3.5929523142726292E+000                 -1.7314749678840747E+014                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.2508530995147596E-001                  1.2508647537659914E-001                 -2.6170646798032327E-001                 -9.8999999999999986E+001                  3.2339185341610738E-001                 -2.6170646798032327E-001                 -9.8999999999999986E+001                 -1.7599808613545767E-001                 -9.8999999999999986E+001 
                                       9                  9.9999999997962508E-001                  1.0370394786510673E+000                  3.7322877902101164E+000                 -7.9133590359185435E+000                  3.6231315822510828E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0890290847942465E+001                  9.9999999997962508E-001                  2.0653295055755198E+001                  7.4976153539652540E+005                  1.3621254238699734E-001                  1.7904459574156523E-027                  9.0750036427087736E+001                 -3.5928911180386915E+000                 -3.5928911168135800E+000                 -1.7314752305937300E+014                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.2510920140947784E-001                  1.2511518110698872E-001                 -2.6168109322117544E-001                 -9.8999999999999986E+001                  3.2345486209509167E-001                 -2.6168109322117544E-001                 -9.8999999999999986E+001                 -1.7595685588547944E-001                 -9.8999999999999986E+001 
